mode_index,eigenvalue,omega,ratio_pred,label
0,-7.133091152668356,1e-06,1.0,Ω_void (singlet)
1,-6.96402466466303,0.4111769546148299,411176.9546148299,v̄₃ (3̄)
2,-4.83093351199468,1.5172862751223566,1517286.2751223566,v̄₂ (3̄)
3,-4.169066488005323,1.7216343005017158,1721634.3005017159,v̄₁ (3̄)
4,-3.8669088473316497,1.8072582287370298,1807258.22873703,v₃ (3)
5,-3.500000000000001,1.9060669328933217,1906066.9328933218,v₂ (3)
6,-3.0359753353369716,2.0241333496912657,2024133.3496912657,v₁ (3)
