sample_type,figure,source_url,page_or_location,freq_MHz,amplitude_arb,Q_or_uncertainty,notes
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,12.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,22.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,30.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,101.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,113.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,185.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,204.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure
