sample_type,figure,source_url,page_or_location,freq_MHz,amplitude_arb,Q_or_uncertainty,notes,freq_Hz,ratio_min_norm
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,12.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure,12000000.0,1.0
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,22.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure,22000000.0,1.8333333333333333
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,30.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure,30000000.0,2.5
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,101.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure,101000000.0,8.416666666666666
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,113.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure,113000000.0,9.416666666666666
microtubule,Table/Text,https://doi.org/10.3390/fractalfract4020011,Singh et al. 2014 / Saxena et al. 2020 compiled,185.0,,Q~100-300 (band-level estimate from Sahu et al. 2013),Published peak frequencies; not digitized from figure,185000000.0,15.416666666666666
