phi_deg,theta_deg,C_joint,C_decoupled,delta_C
10.909091,9.473684,0.760142,0.764413,-0.004271
10.909091,14.210526,0.757787,0.764413,-0.006625
10.909091,18.947368,0.755151,0.764413,-0.009262
10.909091,23.684211,0.752222,0.764413,-0.012191
10.909091,28.421053,0.749060,0.764413,-0.015352
10.909091,33.157895,0.745759,0.764413,-0.018654
10.909091,37.894737,0.742401,0.764413,-0.022012
10.909091,42.631579,0.739025,0.764413,-0.025388
10.909091,47.368421,0.735606,0.764413,-0.028807
10.909091,52.105263,0.732065,0.764413,-0.032348
10.909091,56.842105,0.728340,0.764413,-0.036073
10.909091,61.578947,0.724471,0.764413,-0.039942
10.909091,66.315789,0.720662,0.764413,-0.043751
10.909091,71.052632,0.717240,0.764413,-0.047173
10.909091,75.789474,0.714554,0.764413,-0.049859
10.909091,80.526316,0.712889,0.764413,-0.051524
10.909091,85.263158,0.712413,0.764413,-0.052000
10.909091,90.000000,0.713142,0.764413,-0.051271
12.727273,0.000000,0.767213,0.767213,0.000000
12.727273,4.736842,0.764923,0.767213,-0.002290
12.727273,9.473684,0.762496,0.767213,-0.004717
12.727273,14.210526,0.759861,0.767213,-0.007352
12.727273,18.947368,0.756947,0.767213,-0.010266
12.727273,23.684211,0.753743,0.767213,-0.013470
12.727273,28.421053,0.750305,0.767213,-0.016908
12.727273,33.157895,0.746724,0.767213,-0.020489
12.727273,37.894737,0.743090,0.767213,-0.024123
12.727273,42.631579,0.739453,0.767213,-0.027761
12.727273,47.368421,0.735798,0.767213,-0.031415
12.727273,52.105263,0.732060,0.767213,-0.035153
12.727273,56.842105,0.728188,0.767213,-0.039025
12.727273,61.578947,0.724231,0.767213,-0.042982
12.727273,66.315789,0.720397,0.767213,-0.046816
12.727273,71.052632,0.717007,0.767213,-0.050206
12.727273,75.789474,0.714398,0.767213,-0.052815
12.727273,80.526316,0.712836,0.767213,-0.054377
12.727273,85.263158,0.712474,0.767213,-0.054739
12.727273,90.000000,0.713313,0.767213,-0.053900
14.545455,0.000000,0.769984,0.769984,0.000000
14.545455,4.736842,0.767560,0.769984,-0.002424
14.545455,9.473684,0.764896,0.769984,-0.005088
14.545455,14.210526,0.761982,0.769984,-0.008003
14.545455,18.947368,0.758776,0.769984,-0.011208
14.545455,23.684211,0.755279,0.769984,-0.014705
14.545455,28.421053,0.751546,0.769984,-0.018438
14.545455,33.157895,0.747673,0.769984,-0.022311
14.545455,37.894737,0.743755,0.769984,-0.026229
14.545455,42.631579,0.739854,0.769984,-0.030130
14.545455,47.368421,0.735966,0.769984,-0.034018
14.545455,52.105263,0.732038,0.769984,-0.037946
14.545455,56.842105,0.728026,0.769984,-0.041958
14.545455,61.578947,0.723991,0.769984,-0.045993
14.545455,66.315789,0.720140,0.769984,-0.049844
14.545455,71.052632,0.716788,0.769984,-0.053196
14.545455,75.789474,0.714259,0.769984,-0.055726
14.545455,80.526316,0.712800,0.769984,-0.057185
14.545455,85.263158,0.712549,0.769984,-0.057436
14.545455,90.000000,0.713493,0.769984,-0.056491
16.363636,0.000000,0.772669,0.772669,0.000000
16.363636,4.736842,0.770170,0.772669,-0.002499
16.363636,9.473684,0.767303,0.772669,-0.005366
16.363636,14.210526,0.764119,0.772669,-0.008550
16.363636,18.947368,0.760617,0.772669,-0.012052
16.363636,23.684211,0.756814,0.772669,-0.015855
16.363636,28.421053,0.752774,0.772669,-0.019895
16.363636,33.157895,0.748599,0.772669,-0.024070
16.363636,37.894737,0.744394,0.772669,-0.028275
16.363636,42.631579,0.740229,0.772669,-0.032440
16.363636,47.368421,0.736112,0.772669,-0.036557
16.363636,52.105263,0.731999,0.772669,-0.040670
16.363636,56.842105,0.727857,0.772669,-0.044812
16.363636,61.578947,0.723753,0.772669,-0.048916
16.363636,66.315789,0.719892,0.772669,-0.052777
16.363636,71.052632,0.716584,0.772669,-0.056085
16.363636,75.789474,0.714136,0.772669,-0.058533
16.363636,80.526316,0.712779,0.772669,-0.059890
16.363636,85.263158,0.712635,0.772669,-0.060034
16.363636,90.000000,0.713681,0.772669,-0.058988
18.181818,0.000000,0.775205,0.775205,0.000000
18.181818,4.736842,0.772698,0.775205,-0.002507
18.181818,9.473684,0.769672,0.775205,-0.005533
18.181818,14.210526,0.766239,0.775205,-0.008966
18.181818,18.947368,0.762443,0.775205,-0.012762
18.181818,23.684211,0.758330,0.775205,-0.016875
18.181818,28.421053,0.753977,0.775205,-0.021228
18.181818,33.157895,0.749495,0.775205,-0.025710
18.181818,37.894737,0.745000,0.775205,-0.030205
18.181818,42.631579,0.740574,0.775205,-0.034631
18.181818,47.368421,0.736234,0.775205,-0.038971
18.181818,52.105263,0.731945,0.775205,-0.043260
18.181818,56.842105,0.727683,0.775205,-0.047522
18.181818,61.578947,0.723517,0.775205,-0.051688
18.181818,66.315789,0.719655,0.775205,-0.055550
18.181818,71.052632,0.716394,0.775205,-0.058811
18.181818,75.789474,0.714028,0.775205,-0.061177
18.181818,80.526316,0.712771,0.775205,-0.062434
18.181818,85.263158,0.712731,0.775205,-0.062474
18.181818,90.000000,0.713874,0.775205,-0.061331
20.000000,0.000000,0.777527,0.777527,0.000000
20.000000,4.736842,0.775084,0.777527,-0.002443
20.000000,9.473684,0.771952,0.777527,-0.005575
20.000000,14.210526,0.768302,0.777527,-0.009226
20.000000,18.947368,0.764227,0.777527,-0.013300
20.000000,23.684211,0.759807,0.777527,-0.017720
20.000000,28.421053,0.755140,0.777527,-0.022387
20.000000,33.157895,0.750352,0.777527,-0.027175
20.000000,37.894737,0.745572,0.777527,-0.031956
20.000000,42.631579,0.740890,0.777527,-0.036637
20.000000,47.368421,0.736334,0.777527,-0.041193
20.000000,52.105263,0.731877,0.777527,-0.045650
20.000000,56.842105,0.727503,0.777527,-0.050024
20.000000,61.578947,0.723286,0.777527,-0.054241
20.000000,66.315789,0.719428,0.777527,-0.058099
20.000000,71.052632,0.716219,0.777527,-0.061309
20.000000,75.789474,0.713935,0.777527,-0.063593
20.000000,80.526316,0.712775,0.777527,-0.064752
20.000000,85.263158,0.712834,0.777527,-0.064693
20.000000,90.000000,0.714068,0.777527,-0.063460
21.818182,0.000000,0.779571,0.779571,0.000000
21.818182,4.736842,0.777268,0.779571,-0.002304
21.818182,9.473684,0.774092,0.779571,-0.005479
21.818182,14.210526,0.770266,0.779571,-0.009305
21.818182,18.947368,0.765938,0.779571,-0.013634
21.818182,23.684211,0.761224,0.779571,-0.018348
21.818182,28.421053,0.756251,0.779571,-0.023321
21.818182,33.157895,0.751163,0.779571,-0.028408
21.818182,37.894737,0.746104,0.779571,-0.033468
21.818182,42.631579,0.741174,0.779571,-0.038397
21.818182,47.368421,0.736412,0.779571,-0.043160
21.818182,52.105263,0.731797,0.779571,-0.047774
21.818182,56.842105,0.727321,0.779571,-0.052250
21.818182,61.578947,0.723060,0.779571,-0.056511
21.818182,66.315789,0.719213,0.779571,-0.060358
21.818182,71.052632,0.716057,0.779571,-0.063514
21.818182,75.789474,0.713855,0.779571,-0.065716
21.818182,80.526316,0.712790,0.779571,-0.066782
21.818182,85.263158,0.712942,0.779571,-0.066629
21.818182,90.000000,0.714260,0.779571,-0.065311
23.636364,0.000000,0.781276,0.781276,0.000000
23.636364,4.736842,0.779187,0.781276,-0.002089
23.636364,9.473684,0.776037,0.781276,-0.005239
23.636364,14.210526,0.772089,0.781276,-0.009187
23.636364,18.947368,0.767542,0.781276,-0.013734
23.636364,23.684211,0.762557,0.781276,-0.018718
23.636364,28.421053,0.757294,0.781276,-0.023982
23.636364,33.157895,0.751919,0.781276,-0.029356
23.636364,37.894737,0.746592,0.781276,-0.034683
23.636364,42.631579,0.741426,0.781276,-0.039849
23.636364,47.368421,0.736468,0.781276,-0.044808
23.636364,52.105263,0.731706,0.781276,-0.049569
23.636364,56.842105,0.727138,0.781276,-0.054137
23.636364,61.578947,0.722841,0.781276,-0.058434
23.636364,66.315789,0.719010,0.781276,-0.062266
23.636364,71.052632,0.715910,0.781276,-0.065366
23.636364,75.789474,0.713787,0.781276,-0.067488
23.636364,80.526316,0.712812,0.781276,-0.068463
23.636364,85.263158,0.713053,0.781276,-0.068222
23.636364,90.000000,0.714449,0.781276,-0.066826
25.454545,0.000000,0.782586,0.782586,0.000000
25.454545,4.736842,0.780784,0.782586,-0.001802
25.454545,9.473684,0.777733,0.782586,-0.004853
25.454545,14.210526,0.773725,0.782586,-0.008861
25.454545,18.947368,0.769006,0.782586,-0.013580
25.454545,23.684211,0.763784,0.782586,-0.018801
25.454545,28.421053,0.758255,0.782586,-0.024331
25.454545,33.157895,0.752613,0.782586,-0.029973
25.454545,37.894737,0.747033,0.782586,-0.035552
25.454545,42.631579,0.741645,0.782586,-0.040941
25.454545,47.368421,0.736503,0.782586,-0.046083
25.454545,52.105263,0.731605,0.782586,-0.050980
