phi_deg,theta_deg,delta_C_avg,delta_C_min
76.363636,4.736842,0.00151328,-0.00331562
78.181818,4.736842,0.00125761,-0.00295233
80.000000,4.736842,0.00099626,-0.00259386
81.818182,4.736842,0.00073060,-0.00223874
83.636364,4.736842,0.00046189,-0.00188571
85.454545,4.736842,0.00019132,-0.00153369
87.272727,4.736842,-0.00008003,-0.00118172
89.090909,4.736842,-0.00035111,-0.00082900
90.909091,4.736842,-0.00062094,-0.00047477
92.727273,4.736842,-0.00088859,-0.00011840
94.545455,4.736842,-0.00115316,0.00024071
96.363636,4.736842,-0.00141380,0.00060311
98.181818,4.736842,-0.00166967,0.00096929
100.000000,4.736842,-0.00191997,0.00133975
101.818182,4.736842,-0.00216391,0.00171493
103.636364,4.736842,-0.00240074,0.00209528
105.454545,4.736842,-0.00262972,0.00248123
107.272727,4.736842,-0.00285013,0.00287322
109.090909,4.736842,-0.00306126,0.00327167
110.909091,4.736842,-0.00326242,0.00367702
112.727273,4.736842,-0.00345295,0.00408970
114.545455,4.736842,-0.00363218,0.00451016
116.363636,4.736842,-0.00379947,0.00493885
118.181818,4.736842,-0.00395418,0.00537622
120.000000,4.736842,-0.00409572,0.00582276
121.818182,4.736842,-0.00422347,0.00627894
123.636364,4.736842,-0.00433686,0.00674526
125.454545,4.736842,-0.00443531,0.00722223
127.272727,4.736842,-0.00451826,0.00771036
129.090909,4.736842,-0.00458517,0.00821019
130.909091,4.736842,-0.00463553,0.00872224
132.727273,4.736842,-0.00466884,0.00924705
134.545455,4.736842,-0.00468459,0.00978517
136.363636,4.736842,-0.00468234,0.01033714
138.181818,4.736842,-0.00466165,0.01090347
140.000000,4.736842,-0.00462211,0.01148468
141.818182,4.736842,-0.00456333,0.01208126
143.636364,4.736842,-0.00448499,0.01269367
145.454545,4.736842,-0.00438678,0.01332229
147.272727,4.736842,-0.00426847,0.01396746
149.090909,4.736842,-0.00412987,0.01462943
150.909091,4.736842,-0.00397089,0.01530832
152.727273,4.736842,-0.00379150,0.01600412
154.545455,4.736842,-0.00359180,0.01671664
156.363636,4.736842,-0.00337200,0.01744545
158.181818,4.736842,-0.00313249,0.01818986
160.000000,4.736842,-0.00287381,0.01851469
161.818182,4.736842,-0.00259675,0.01752100
163.636364,4.736842,-0.00230234,0.01631604
165.454545,4.736842,-0.00199191,0.01487674
167.272727,4.736842,-0.00166718,0.01318052
169.090909,4.736842,-0.00133025,0.01120576
170.909091,4.736842,-0.00098371,0.00893241
172.727273,4.736842,-0.00063072,0.00634269
174.545455,4.736842,-0.00027501,0.00342201
176.363636,4.736842,0.00007897,0.00015993
178.181818,4.736842,0.00042609,-0.00344861
180.000000,4.736842,0.00076043,-0.00740204
0.000000,9.473684,-0.00096981,-0.04585403
1.818182,9.473684,-0.00152455,-0.04759442
3.636364,9.473684,-0.00209314,-0.04929678
5.454545,9.473684,-0.00266531,-0.05093853
7.272727,9.473684,-0.00322882,-0.05177655
9.090909,9.473684,-0.00376949,-0.04778946
10.909091,9.473684,-0.00427134,-0.04352008
12.727273,9.473684,-0.00471693,-0.03901968
14.545455,9.473684,-0.00508793,-0.03435238
16.363636,9.473684,-0.00536590,-0.02959500
18.181818,9.473684,-0.00553337,-0.02483615
20.000000,9.473684,-0.00557504,-0.02017438
21.818182,9.473684,-0.00547912,-0.01571518
23.636364,9.473684,-0.00523870,-0.01156699
25.454545,9.473684,-0.00485283,-0.00783625
27.272727,9.473684,-0.00432724,-0.00462181
29.090909,9.473684,-0.00367452,-0.00200918
30.909091,9.473684,-0.00291366,-0.00006517
32.727273,9.473684,-0.00206893,0.00116645
34.545455,9.473684,-0.00116828,0.00166778
36.363636,9.473684,-0.00024136,0.00144780
38.181818,9.473684,0.00068242,0.00054125
40.000000,9.473684,0.00157573,-0.00099415
41.818182,9.473684,0.00241476,-0.00308208
43.636364,9.473684,0.00318008,-0.00563282
45.454545,9.473684,0.00385712,-0.00854878
47.272727,9.473684,0.00443608,-0.01172987
49.090909,9.473684,0.00491159,-0.01507821
50.909091,9.473684,0.00528205,-0.01850187
52.727273,9.473684,0.00554893,-0.02094313
54.545455,9.473684,0.00571604,-0.01913590
56.363636,9.473684,0.00578883,-0.01746432
58.181818,9.473684,0.00577387,-0.01591827
60.000000,9.473684,0.00567827,-0.01448656
61.818182,9.473684,0.00550941,-0.01315759
63.636364,9.473684,0.00527463,-0.01191992
65.454545,9.473684,0.00498105,-0.01076260
67.272727,9.473684,0.00463546,-0.00967540
69.090909,9.473684,0.00424425,-0.00864891
70.909091,9.473684,0.00381337,-0.00767462
72.727273,9.473684,0.00334837,-0.00674490
74.545455,9.473684,0.00285436,-0.00585291
76.363636,9.473684,0.00233607,-0.00499264
78.181818,9.473684,0.00179789,-0.00415873
80.000000,9.473684,0.00124385,-0.00334649
81.818182,9.473684,0.00067771,-0.00255176
83.636364,9.473684,0.00010297,-0.00177087
85.454545,9.473684,-0.00047713,-0.00100057
87.272727,9.473684,-0.00105953,-0.00023797
89.090909,9.473684,-0.00164139,0.00051951
90.909091,9.473684,-0.00222000,0.00127418
92.727273,9.473684,-0.00279283,0.00202812
94.545455,9.473684,-0.00335748,0.00278325
96.363636,9.473684,-0.00391167,0.00354129
98.181818,9.473684,-0.00445324,0.00430388
100.000000,9.473684,-0.00498012,0.00507249
101.818182,9.473684,-0.00549035,0.00584855
103.636364,9.473684,-0.00598206,0.00663340
105.454545,9.473684,-0.00645345,0.00742830
107.272727,9.473684,-0.00690280,0.00823449
109.090909,9.473684,-0.00732850,0.00905316
110.909091,9.473684,-0.00772896,0.00988548
112.727273,9.473684,-0.00810270,0.01073257
114.545455,9.473684,-0.00844828,0.01103899
116.363636,9.473684,-0.00876435,0.00938441
118.181818,9.473684,-0.00904960,0.00783328
120.000000,9.473684,-0.00930279,0.00638849
121.818182,9.473684,-0.00952275,0.00505165
123.636364,9.473684,-0.00970837,0.00382320
125.454545,9.473684,-0.00985859,0.00270230
127.272727,9.473684,-0.00997241,0.00168694
129.090909,9.473684,-0.01004892,0.00077385
130.909091,9.473684,-0.01008726,-0.00004148
132.727273,9.473684,-0.01008664,-0.00076478
134.545455,9.473684,-0.01004635,-0.00140303
136.363636,9.473684,-0.00996574,-0.00196446
138.181818,9.473684,-0.00984429,-0.00245857
140.000000,9.473684,-0.00968154,-0.00289611
141.818182,9.473684,-0.00947716,-0.00328910
143.636364,9.473684,-0.00923093,-0.00365083
145.454545,9.473684,-0.00894278,-0.00399585
147.272727,9.473684,-0.00861279,-0.00433996
149.090909,9.473684,-0.00824125,-0.00470019
150.909091,9.473684,-0.00782864,-0.00509479
152.727273,9.473684,-0.00737570,-0.00554313
154.545455,9.473684,-0.00688349,-0.00606572
156.363636,9.473684,-0.00635338,-0.00668404
158.181818,9.473684,-0.00578717,-0.00742048
160.000000,9.473684,-0.00518712,-0.00829815
161.818182,9.473684,-0.00455604,-0.00934071
163.636364,9.473684,-0.00389738,-0.01057209
165.454545,9.473684,-0.00321531,-0.01201619
167.272727,9.473684,-0.00251485,-0.01369646
169.090909,9.473684,-0.00180194,-0.01563540
170.909091,9.473684,-0.00108360,-0.01785398
172.727273,9.473684,-0.00036800,-0.02037088
174.545455,9.473684,0.00033544,-0.02320163
176.363636,9.473684,0.00101599,-0.02635761
178.181818,9.473684,0.00166155,-0.02984482
180.000000,9.473684,0.00225875,-0.03366264
0.000000,14.210526,-0.00197325,-0.06421547
1.818182,14.210526,-0.00269264,-0.06692986
3.636364,14.210526,-0.00345363,-0.06962431
5.454545,14.210526,-0.00424408,-0.07227007
7.272727,14.210526,-0.00504886,-0.07411590
9.090909,14.210526,-0.00584974,-0.07113010
10.909091,14.210526,-0.00662542,-0.06784274
12.727273,14.210526,-0.00735181,-0.06428980
14.545455,14.210526,-0.00800257,-0.06051759
16.363636,14.210526,-0.00855004,-0.05658281
18.181818,14.210526,-0.00896648,-0.05255210
20.000000,14.210526,-0.00922569,-0.04850092
21.818182,14.210526,-0.00930487,-0.04451164
