case,base_preset,description,classification,cycle_end_classification,cycle_end_final_delta,max_within_cycle_span,record_count,cycle_count,summary_path,csv_path,plot_path
quiet_loop__baseline,quiet_loop,Unchanged quiet-loop baseline.,bounded_transient,cycle_end_transient,1.7775596372449076e-05,0.0366741384533637,981,140,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__baseline/summary.json,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__baseline/trajectory.csv,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__baseline/trajectory.png
quiet_loop__higher_reset,quiet_loop,Raises reset and silence feedback to test stronger PX-007 damping.,bounded_transient,cycle_end_transient,1.1302630099407907e-05,0.04052391247323428,981,140,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__higher_reset/summary.json,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__higher_reset/trajectory.csv,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__higher_reset/trajectory.png
quiet_loop__higher_feedback,quiet_loop,Raises signal/utterance coupling to test PX-005/PX-006 sensitivity.,bounded_transient,cycle_end_transient,1.034380693820669e-05,0.04039274819130367,981,140,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__higher_feedback/summary.json,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__higher_feedback/trajectory.csv,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__higher_feedback/trajectory.png
quiet_loop__damped_fracture,quiet_loop,Lowers fracture and false-signal gains to test settling behavior.,bounded_transient,cycle_end_transient,2.5072648981772083e-05,0.03120187895512591,981,140,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__damped_fracture/summary.json,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__damped_fracture/trajectory.csv,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/quiet_loop__damped_fracture/trajectory.png
paradox_amplification__baseline,paradox_amplification,Unchanged paradox-amplification baseline.,bounded_oscillation_or_amplification,cycle_end_settling,1.4986218932477868e-09,0.06454163080374009,981,140,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__baseline/summary.json,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__baseline/trajectory.csv,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__baseline/trajectory.png
paradox_amplification__higher_reset,paradox_amplification,Raises reset and silence feedback to test whether PX-007 suppresses oscillation.,bounded_oscillation_or_amplification,cycle_end_fixed_point_like,7.749627606301601e-10,0.0755406304606916,981,140,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__higher_reset/summary.json,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__higher_reset/trajectory.csv,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__higher_reset/trajectory.png
paradox_amplification__higher_feedback,paradox_amplification,Raises PX-005/PX-006 gains to test instability and bounded amplification.,bounded_oscillation_or_amplification,cycle_end_fixed_point_like,5.748127529514591e-10,0.06503005547854401,981,140,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__higher_feedback/summary.json,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__higher_feedback/trajectory.csv,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__higher_feedback/trajectory.png
paradox_amplification__damped_fracture,paradox_amplification,Lowers fracture drive and raises reset pressure to test calmer trajectories.,bounded_oscillation_or_amplification,cycle_end_settling,2.974405499678312e-09,0.06536831179843161,981,140,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__damped_fracture/summary.json,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__damped_fracture/trajectory.csv,outbox/ai_coordination/px_loop_runs/2026-07-07_sweeps/paradox_amplification__damped_fracture/trajectory.png
